date,code,open,close,amount
2022-07-29,sh.603033,22.5400,22.2300,1216989747.1300
2022-07-29,sh.603035,16.5200,18.6900,4585242778.6400
2022-07-29,sh.603036,9.0000,9.1800,677322649.2900
2022-07-29,sh.603037,17.4700,18.1500,595860409.1100
2022-07-29,sh.603038,8.4700,8.2100,424208405.4700
2022-07-29,sh.603039,36.4000,35.5100,475302374.3200
2022-07-29,sh.603040,18.8500,20.0300,538127264.2200
2022-07-29,sh.603041,12.3900,12.9000,278043993.5200
2022-07-29,sh.603042,10.2800,10.2400,448159905.6500
2022-07-29,sh.603043,25.1100,22.9500,1256311909.4000
2022-07-29,sh.603045,15.8600,17.0200,740574053.9700
2022-07-29,sh.603048,19.9200,19.3200,744550385.5100
2022-07-29,sh.603050,13.6900,16.1500,3625169211.9600
2022-07-29,sh.603051,76.8400,71.9200,5591099066.4100
2022-07-29,sh.603053,9.3600,9.7700,852793840.2500
2022-07-29,sh.603055,12.5600,15.1100,1865493496.7500
2022-07-29,sh.603056,13.4300,13.3200,2196441247.9800
2022-07-29,sh.603058,7.0900,7.9300,1206239441.8000
2022-07-29,sh.603059,19.0000,19.4800,225168603.4600
2022-07-29,sh.603060,11.9800,12.5000,791751925.0000
2022-07-29,sh.603063,38.2400,39.8900,10565102291.9900
2022-07-29,sh.603066,9.6100,10.0700,1237271868.5400
2022-07-29,sh.603067,12.4700,20.9500,12211576048.3900
2022-07-29,sh.603068,39.9500,32.0100,2742194180.6600
2022-07-29,sh.603069,42.6800,26.4200,17805131869.9100
2022-07-29,sh.603070,20.9400,20.7100,4575706829.7300
2022-07-29,sh.603071,18.1500,18.3900,1543287591.8100
2022-07-29,sh.603076,43.2600,51.9900,4236638607.8100
2022-07-29,sh.603077,4.2500,3.8800,21604131908.4400
2022-07-29,sh.603078,28.3000,23.9500,6701134312.4500
2022-07-29,sh.603079,13.3100,13.3400,364299004.1900
2022-07-29,sh.603080,13.0900,15.3700,2517453837.3700
2022-07-29,sh.603081,11.1500,10.9800,438567663.7900
2022-07-29,sh.603083,10.1500,10.3900,673623501.9200
2022-07-29,sh.603085,8.4500,13.5400,3812452676.7700
2022-07-29,sh.603086,9.6500,11.5200,2975786578.4900
2022-07-29,sh.603087,47.8800,40.7800,4476073784.4600
2022-07-29,sh.603088,7.3000,9.8000,5110370961.8800
2022-07-29,sh.603089,8.5000,9.2200,422824066.6200
2022-07-29,sh.603090,26.9000,28.7300,860275655.0600
2022-07-29,sh.603093,10.5400,10.4200,575372737.0900
2022-07-29,sh.603095,21.3600,21.8000,581364537.7000
2022-07-29,sh.603096,18.3900,18.1600,338475437.1800
2022-07-29,sh.603097,23.4300,27.4600,5833350802.4100
2022-07-29,sh.603098,36.0200,33.6200,1713413297.6000
2022-07-29,sh.603099,9.2800,8.3400,651302031.5500
2022-07-29,sh.603100,17.6100,19.2900,1252917364.7100
2022-07-29,sh.603101,6.2800,6.2400,276273583.3500
2022-07-29,sh.603102,45.1300,44.3700,1463867028.4500
2022-07-29,sh.603103,13.9700,15.2100,2092068890.6500
2022-07-29,sh.603105,11.3100,13.3100,5208030711.8800
2022-07-29,sh.603106,5.1700,5.1300,595869183.0600
2022-07-29,sh.603108,9.8300,10.1400,1475159351.3900
2022-07-29,sh.603109,19.1600,18.3100,2906913397.7100
2022-07-29,sh.603110,37.3500,35.4800,431598095.5600
2022-07-29,sh.603111,4.5500,4.8200,433269161.0200
2022-07-29,sh.603112,14.9400,16.4900,1554564137.2500
2022-07-29,sh.603113,11.0100,9.7500,1320008465.2400
2022-07-29,sh.603115,24.6300,22.3000,1870750205.8400
2022-07-29,sh.603116,5.7000,5.4600,351274752.2400
2022-07-29,sh.603117,2.3800,2.4400,499001096.4400
2022-07-29,sh.603118,7.4000,7.4800,811917067.9200
2022-07-29,sh.603121,7.0500,7.3800,536545261.5100
2022-07-29,sh.603122,12.4200,13.1400,4804528592.8800
2022-07-29,sh.603123,13.4900,12.1800,4920865950.7800
2022-07-29,sh.603126,6.9100,7.2100,1150049894.1500
2022-07-29,sh.603127,114.3300,110.7400,9092783434.8000
2022-07-29,sh.603128,10.1500,9.1700,2397061578.9000
2022-07-29,sh.603129,113.4300,149.0000,4438576789.1200
2022-07-29,sh.603131,13.7900,13.9200,953533946.2500
2022-07-29,sh.603132,12.8000,13.5800,1855120290.0000
2022-07-29,sh.603133,11.5400,11.0300,730664317.4200
2022-07-29,sh.603136,27.9500,22.1800,2569122023.0200
2022-07-29,sh.603138,13.7900,14.7600,2240806845.1200
2022-07-29,sh.603139,20.3000,26.7000,1953993472.8100
2022-07-29,sh.603150,29.7200,30.1800,801927588.5000
2022-07-29,sh.603155,37.2000,33.0000,1076592493.4400
2022-07-29,sh.603156,22.7500,20.3900,829482774.0300
2022-07-29,sh.603158,8.5300,8.9300,2634987750.9200
2022-07-29,sh.603159,13.9100,14.6200,316986130.6500
2022-07-29,sh.603160,62.2000,58.2600,12590551428.9300
